0,414974
1,436785
2,457314
3,471696
4,483769
5,499144
6,507291
7,529473
8,537902
9,554146
10,562764
11,569337
12,568025
13,569063
14,565871
15,572210
16,568006
17,565389
18,574707
19,590744
20,587458
21,593017
22,590999
23,592782
24,591632
25,598620
26,610326
27,636742
28,635013
29,647793
30,646752
31,661651
32,649095
33,652402
34,672541
35,685014
36,696978
37,720776
38,725693
39,743730
40,766871
41,807492
42,833206
43,869464
44,910431
45,947191
46,941384
47,950417
48,959708
49,951065
50,976325
51,968981
52,972528
53,980815
54,978055
55,990171
56,927825
57,895469
58,876379
59,847647
60,825539
61,787331
62,777491
63,759731
64,743258
65,729584
66,693488
67,679502
68,673956
69,694484
70,694140
71,718819
72,696577
73,689079
74,525745
75,533883
76,530624
77,518346
78,511316
79,549844
80,526084
81,493871
82,439070
83,392934
84,379577
85,344257
86,308797
87,273406
88,245503
89,224661
90,178020
91,148233
92,121373
93,95283
94,73451
95,55649
96,41447
97,29302
98,20560
99,13421
100,14804
